🌍HNGD,#genre#
CCTV-4,http://219.159.147.195:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV-5,http://219.159.147.195:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV-6,http://219.159.147.195:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV-7,http://219.159.147.195:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV-8,http://219.159.147.195:9901/tsfile/live/1010_1.m3u8?key=txiptv
CCTV-9,http://219.159.147.195:9901/tsfile/live/1011_1.m3u8?key=txiptv
CCTV-12,http://219.159.147.195:9901/tsfile/live/1014_1.m3u8?key=txiptv
CCTV-新闻,http://219.159.147.195:9901/tsfile/live/1015_1.m3u8?key=txiptv
CCTV-少儿,http://219.159.147.195:9901/tsfile/live/1020_1.m3u8?key=txiptv
CCTV-音乐,http://219.159.147.195:9901/tsfile/live/1021_1.m3u8?key=txiptv
CCTV-17,http://219.159.147.195:9901/tsfile/live/1022_1.m3u8?key=txiptv
东方卫视,http://219.159.147.195:9901/tsfile/live/1023_1.m3u8?key=txiptv
北京卫视,http://219.159.147.195:9901/tsfile/live/1024_1.m3u8?key=txiptv
浙江卫视,http://219.159.147.195:9901/tsfile/live/1025_1.m3u8?key=txiptv
湖南卫视,http://219.159.147.195:9901/tsfile/live/1026_1.m3u8?key=txiptv
江苏卫视,http://219.159.147.195:9901/tsfile/live/1016_1.m3u8?key=txiptv
辽宁卫视,http://219.159.147.195:9901/tsfile/live/1017_1.m3u8?key=txiptv
广东卫视,http://219.159.147.195:9901/tsfile/live/1018_1.m3u8?key=txiptv
江西卫视,http://219.159.147.195:9901/tsfile/live/1028_1.m3u8?key=txiptv
山东卫视,http://219.159.147.195:9901/tsfile/live/1029_1.m3u8?key=txiptv
深圳卫视,http://219.159.147.195:9901/tsfile/live/1030_1.m3u8?key=txiptv
湖北卫视,http://219.159.147.195:9901/tsfile/live/1031_1.m3u8?key=txiptv
东南卫视,http://219.159.147.195:9901/tsfile/live/1032_1.m3u8?key=txiptv
四川卫视,http://219.159.147.195:9901/tsfile/live/1033_1.m3u8?key=txiptv
河南卫视,http://219.159.147.195:9901/tsfile/live/1034_1.m3u8?key=txiptv
河北卫视,http://219.159.147.195:9901/tsfile/live/1035_1.m3u8?key=txiptv
天津卫视,http://219.159.147.195:9901/tsfile/live/1037_1.m3u8?key=txiptv
天等台,http://219.159.147.195:9901/tsfile/live/1000_1.m3u8?key=txiptv
崇左综合,http://219.159.147.195:9901/tsfile/live/1001_1.m3u8?key=txiptv
广西卫视,http://219.159.147.195:9901/tsfile/live/1002_1.m3u8?key=txiptv

🌍SQDX,#genre#
CCTV-1,http://118.122.2.29:9999/hls/1/index.m3u8
CCTV-2,http://118.122.2.29:9999/hls/2/index.m3u8
CCTV-3,http://118.122.2.29:9999/hls/3/index.m3u8
CCTV-4,http://118.122.2.29:9999/hls/4/index.m3u8
CCTV-5,http://118.122.2.29:9999/hls/5/index.m3u8
CCTV-6,http://118.122.2.29:9999/hls/6/index.m3u8
CCTV-7,http://118.122.2.29:9999/hls/7/index.m3u8
CCTV-8,http://118.122.2.29:9999/hls/8/index.m3u8
CCTV-9,http://118.122.2.29:9999/hls/9/index.m3u8
CCTV-10,http://118.122.2.29:9999/hls/10/index.m3u8
CCTV-11,http://118.122.2.29:9999/hls/11/index.m3u8
CCTV-12,http://118.122.2.29:9999/hls/12/index.m3u8
CCTV-13,http://118.122.2.29:9999/hls/13/index.m3u8
CCTV-14,http://118.122.2.29:9999/hls/14/index.m3u8
CCTV-15,http://118.122.2.29:9999/hls/15/index.m3u8
CCTV-16,http://118.122.2.29:9999/hls/16/index.m3u8
广东卫视,http://118.122.2.29:9999/hls/25/index.m3u8
山东卫视,http://118.122.2.29:9999/hls/26/index.m3u8
江西卫视,http://118.122.2.29:9999/hls/28/index.m3u8
东南卫视,http://118.122.2.29:9999/hls/29/index.m3u8
黑龙江卫视,http://118.122.2.29:9999/hls/30/index.m3u8
重庆卫视,http://118.122.2.29:9999/hls/31/index.m3u8
贵州卫视,http://118.122.2.29:9999/hls/32/index.m3u8
湖北卫视,http://118.122.2.29:9999/hls/33/index.m3u8
河北卫视,http://118.122.2.29:9999/hls/34/index.m3u8
辽宁卫视,http://118.122.2.29:9999/hls/35/index.m3u8
河南卫视,http://118.122.2.29:9999/hls/36/index.m3u8
广西卫视,http://118.122.2.29:9999/hls/37/index.m3u8
康巴卫视,http://118.122.2.29:9999/hls/39/index.m3u8
山西卫视,http://118.122.2.29:9999/hls/40/index.m3u8
陕西卫视,http://118.122.2.29:9999/hls/41/index.m3u8
内蒙古卫视,http://118.122.2.29:9999/hls/42/index.m3u8
青海卫视,http://118.122.2.29:9999/hls/43/index.m3u8
宁夏卫视,http://118.122.2.29:9999/hls/44/index.m3u8
西藏卫视,http://118.122.2.29:9999/hls/45/index.m3u8
新疆卫视,http://118.122.2.29:9999/hls/46/index.m3u8
彝语综合,http://118.122.2.29:9999/hls/47/index.m3u8
海南卫视,http://118.122.2.29:9999/hls/48/index.m3u8
峨眉电影,http://118.122.2.29:9999/hls/49/index.m3u8
金鹰卡通,http://118.122.2.29:9999/hls/50/index.m3u8
凉山新闻,http://118.122.2.29:9999/hls/51/index.m3u8
四川文化旅游,http://118.122.2.29:9999/hls/52/index.m3u8
四川影视文化,http://118.122.2.29:9999/hls/53/index.m3u8
四川科教,http://118.122.2.29:9999/hls/54/index.m3u8
四川乡村,http://118.122.2.29:9999/hls/55/index.m3u8
炫动卡通,http://118.122.2.29:9999/hls/56/index.m3u8
上海纪实,http://118.122.2.29:9999/hls/57/index.m3u8
金鹰纪实,http://118.122.2.29:9999/hls/58/index.m3u8
华语电影,http://118.122.2.29:9999/hls/59/index.m3u8
全球大片,http://118.122.2.29:9999/hls/60/index.m3u8

🌍HNDX,#genre#
CCTV1-综合,http://222.244.147.16:9901/tsfile/live/0001_1.m3u8
CCTV2-财经,http://222.244.147.16:9901/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://222.244.147.16:9901/tsfile/live/0003_1.m3u8
CCTV4-国际,http://222.244.147.16:9901/tsfile/live/0004_1.m3u8
CCTV5-体育,http://222.244.147.16:9901/tsfile/live/0005_1.m3u8
CCTV6-电影,http://222.244.147.16:9901/tsfile/live/0006_1.m3u8
CCTV7-军农,http://222.244.147.16:9901/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://222.244.147.16:9901/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://222.244.147.16:9901/tsfile/live/0009_1.m3u8
CCTV10-科教,http://222.244.147.16:9901/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://222.244.147.16:9901/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://222.244.147.16:9901/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://222.244.147.16:9901/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://222.244.147.16:9901/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://222.244.147.16:9901/tsfile/live/0015_1.m3u8
CCTV5+体育频道,http://222.244.147.16:9901/tsfile/live/0016_1.m3u8
湖南卫视,http://222.244.147.16:9901/tsfile/live/0128_1.m3u8
湖南经视,http://222.244.147.16:9901/tsfile/live/1000_1.m3u8
湖南都市,http://222.244.147.16:9901/tsfile/live/1001_1.m3u8
湖南电视剧,http://222.244.147.16:9901/tsfile/live/1002_1.m3u8
湖南电影,http://222.244.147.16:9901/tsfile/live/1003_1.m3u8
金鹰卡通,http://222.244.147.16:9901/tsfile/live/1004_1.m3u8
湖南娱乐,http://222.244.147.16:9901/tsfile/live/1005_1.m3u8
金鹰纪实,http://222.244.147.16:9901/tsfile/live/1006_1.m3u8
湖南公共,http://222.244.147.16:9901/tsfile/live/1007_1.m3u8
江苏卫视,http://222.244.147.16:9901/tsfile/live/0127_1.m3u8
北京卫视,http://222.244.147.16:9901/tsfile/live/0122_1.m3u8
天津卫视,http://222.244.147.16:9901/tsfile/live/0135_1.m3u8
深圳卫视,http://222.244.147.16:9901/tsfile/live/0126_1.m3u8
湖北卫视,http://222.244.147.16:9901/tsfile/live/0132_1.m3u8
山东卫视,http://222.244.147.16:9901/tsfile/live/0131_1.m3u8
黑龙江卫视,http://222.244.147.16:9901/tsfile/live/0143_1.m3u8
浙江卫视,http://222.244.147.16:9901/tsfile/live/0124_1.m3u8
安徽卫视,http://222.244.147.16:9901/tsfile/live/0130_1.m3u8
东方卫视,http://222.244.147.16:9901/tsfile/live/0107_1.m3u8
江西卫视,http://222.244.147.16:9901/tsfile/live/0138_1.m3u8
辽宁卫视,http://222.244.147.16:9901/tsfile/live/0121_1.m3u8
云南卫视,http://222.244.147.16:9901/tsfile/live/0119_1.m3u8
吉林卫视,http://222.244.147.16:9901/tsfile/live/0116_1.m3u8
广东卫视,http://222.244.147.16:9901/tsfile/live/0125_1.m3u8
广西卫视,http://222.244.147.16:9901/tsfile/live/0113_1.m3u8
四川卫视,http://222.244.147.16:9901/tsfile/live/0123_1.m3u8
重庆卫视,http://222.244.147.16:9901/tsfile/live/0142_1.m3u8
贵州卫视,http://222.244.147.16:9901/tsfile/live/0120_1.m3u8
河南卫视,http://222.244.147.16:9901/tsfile/live/0139_1.m3u8
河北卫视,http://222.244.147.16:9901/tsfile/live/0117_1.m3u8
